Casino Name,City,Region,Lat,Lng,Google Formatted Address,Status
"MGM Northfield Park","Northfield","Ohio, USA",41.3484663,-81.52432759999999,"10777 Northfield Rd, Northfield, OH 44067, USA",OK
"Wind Creek Atmore","Atmore","Alabama, USA",31.1027374,-87.4828643,"303 Poarch Rd, Atmore, AL 36502, USA",OK
"Wind Creek Montgomery","Montgomery","Alabama, USA",32.4247969,-86.13878230000002,"1801 Eddie L Tullis Rd, Montgomery, AL 36117, USA",OK
"Talking Stick Resort","Scottsdale","Arizona, USA",33.5410221,-111.8694239,"9800 E Talking Stick Wy, Scottsdale, AZ 85256, USA",OK
"Casino Arizona","Scottsdale","Arizona, USA",33.4543466,-111.885611,"524 N 92nd St, Scottsdale, AZ 85256, USA",OK
"Harrah's Ak-Chin Casino","Maricopa","Arizona, USA",33.0234836,-112.0507311,"15406 N Maricopa Rd, Maricopa, AZ 85139, USA",OK
"Desert Diamond Casino","Tucson","Arizona, USA",32.1181567,-110.9641468,"7350 S Nogales Hwy, Tucson, AZ 85756, USA",OK
"Casino Del Sol","Tucson","Arizona, USA",32.131541,-111.086605,"5655 W Valencia Rd, Tucson, AZ 85757, USA",OK
"Casino de Monte-Carlo","Monte Carlo","Monaco",43.7390972,7.428068100000001,"Pl. du Casino, 98000 Monaco",OK
"Grand Casino de Monte-Carlo","Monte Carlo","Monaco",43.7390972,7.428068100000001,"Pl. du Casino, 98000 Monaco",OK
"Casino Baden-Baden","Baden-Baden","Germany",48.7535592,8.233721599999999,"Fremersbergstraße 23, 76530 Baden-Baden, Germany",OK
"Casino Wiesbaden","Wiesbaden","Germany",50.0850983,8.2478594,"Kurhauspl. 1, 65189 Wiesbaden, Germany",OK
"Casino Hohensyburg","Dortmund","Germany",51.4207198,7.488747399999998,"Hohensyburgstraße 200, 44265 Dortmund, Germany",OK
"Spielbank Berlin","Berlin","Germany",52.52000659999999,13.404954,"Berlin, Germany",OK
"Spielbank Hamburg","Hamburg","Germany",53.5488282,9.987170299999999,"Hamburg, Germany",OK
"Casino Estoril","Estoril","Portugal",38.70793099999999,-9.397133799999999,"Edifício do Casino, Av. Dr. Stanley Ho, 2765-190 Estoril, Portugal",OK
"Casino Lisboa","Lisbon","Portugal",38.7646407,-9.0966028,"Alameda dos Oceanos 45, 1990-204 Lisboa, Portugal",OK
"Casino do Estoril","Estoril","Portugal",38.70793099999999,-9.397133799999999,"Edifício do Casino, Av. Dr. Stanley Ho, 2765-190 Estoril, Portugal",OK
"Casino de Marbella","Marbella","Spain",36.4889065,-4.9619382,"Carretera Nacional 340, K174, Nueva Andalucía, 29660 Marbella, Málaga, Spain",OK
"Casino de Barcelona","Barcelona","Spain",41.3866938,2.1970601,"Carrer de la Marina, 19, 21, Ciutat Vella, 08005 Barcelona, Spain",OK
"Gran Casino de Madrid","Madrid","Spain",40.5660091,-3.9140435,"Autovía A6 (Madrid- A Coruña), salida 27, 28250 Torrelodones, Madrid, Spain",OK
"Casino de Santander","Santander","Spain",43.4636346,-3.8226402,"Santander, Cantabria, Spain",OK
"Casino Campione","Campione d'Italia","Italy",45.97083809999999,8.9717953,"Piazzale Milano, 2, 22061 Campione d'Italia CO, Italy",OK
"Casino di Venezia","Venice","Italy",45.52031729999999,12.358686,"Via Paliaga, 4/8, 30173 Venezia VE, Italy",OK
"Casino di Sanremo","Sanremo","Italy",43.81505869999999,7.771986,"Corso degli Inglesi, 18, 18038 Sanremo IM, Italy",OK
"Casino di Saint-Vincent","Saint-Vincent","Italy",45.7522696,7.642709399999999,"Via Italo Mus, 11027 Saint-Vincent AO, Italy",OK
"Casino de Deauville","Deauville","France",49.3595943,0.06941599999999999,"2 Rue Edmond Blanc, 14800 Deauville, France",OK
"Casino Barrière Enghien-les-Bains","Enghien-les-Bains","France",48.96971689999999,2.3033255,"3 Av. de Ceinture, 95880 Enghien-les-Bains, France",OK
"Casino Barrière Deauville","Deauville","France",49.3595943,0.06941599999999999,"2 Rue Edmond Blanc, 14800 Deauville, France",OK
"Empire Casino","London","United Kingdom",51.5072178,-0.1275862,"London, UK",OK
"The Hippodrome Casino","London","United Kingdom",51.5114416,-0.1286276,"Cranbourn St, Leicester Square, London WC2H 7JH, UK",OK
"Aspers Casino","London","United Kingdom",51.5428084,-0.0064829,"Olympic Park, 312 Montfichet Rd, London E20 1ET, UK",OK
"Grosvenor Casino","London","United Kingdom",51.5072178,-0.1275862,"London, UK",OK
"Casino Admiral","Prague","Czech Republic",50.069313,14.4049851,"Nádražní 46/88, Smíchov, 150 00 Praha-Praha 5, Czechia",OK
"Casino Corinthia","Prague","Czech Republic",50.0627877,14.432054,"Kongresová 1, 140 69 Praha 4-Nusle, Czechia",OK
"Casino Royale","Riga","Latvia",56.9676941,24.1056221,"Riga, Latvia",OK
"Olympic Casino","Tallinn","Estonia",59.43696079999999,24.7535746,"Tallinn, Estonia",OK
"Casino Helsinki","Helsinki","Finland",60.171853,24.9456404,"Mikonkatu 19, 00100 Helsinki, Finland",OK
"Casino Cosmopol","Stockholm","Sweden",59.33324090000001,18.0553687,"Kungsgatan 65, 101 20 Stockholm, Sweden",OK
"Grand Casino Liechtenstein","Bendern","Liechtenstein",47.2051938,9.502598200000001,"Selemad 10, 9487 Bendern, Liechtenstein",OK
"Casino Kursaal Interlaken","Interlaken","Switzerland",46.6884874,7.858228,"Strandbadstrasse 44, 3800 Interlaken, Switzerland",OK
"Casino Lugano","Lugano","Switzerland",46.0041076,8.9551351,"Via Chiarina Stauffacher-Vedani, 1, 6900 Lugano, Switzerland",OK
"Casino Bern","Bern","Switzerland",46.94696219999999,7.4482422,"Casinopl. 1, 3011 Bern, Switzerland",OK
"Casino Baden","Baden","Switzerland",47.47870169999999,8.3105073,"Haselstrasse 2, 5400 Baden, Switzerland",OK
"Casino Vienna","Vienna","Austria",48.20806959999999,16.3713095,"Vienna, Austria",OK
"Casino Salzburg","Salzburg","Austria",47.8195712,12.9920258,"Kleßheim 1c Schloss Klessheim, 5071 Wals, Austria",OK
"Casino Innsbruck","Innsbruck","Austria",47.262114,11.3963574,"Salurner Str. 15, 6020 Innsbruck, Austria",OK
"Casino Graz","Graz","Austria",47.0697922,15.4377246,"Landhausgasse 10, 8010 Graz, Austria",OK
"Crown Melbourne","Southbank","Victoria, Australia",-37.8242257,144.9575337,"Crown Melbourne, 8 Whiteman St, Southbank VIC 3006, Australia",OK
"The Star Sydney","Sydney","New South Wales, Australia",-33.8683329,151.1949875,"20-80 Pyrmont St, Pyrmont NSW 2009, Australia",OK
"Crown Sydney","Sydney","New South Wales, Australia",-33.8625104,151.201103,"1 Barangaroo Ave, Barangaroo NSW 2000, Australia",OK
"Crown Perth","Burswood","Western Australia, Australia",-31.9605921,115.8942022,"Great Eastern Hwy, Burswood WA 6100, Australia",OK
"The Star Gold Coast","Broadbeach","Queensland, Australia",-28.0316663,153.4282904,"1 Casino Dr, Broadbeach QLD 4218, Australia",OK
"The Star Brisbane","Brisbane","Queensland, Australia",-27.4738528,153.0250142,"Lvl 5/33 William St, Brisbane City QLD 4000, Australia",OK
"Treasury Casino","Brisbane","Queensland, Australia",-27.4726783,153.0246408,"130 William St, Brisbane City QLD 4000, Australia",OK
"The Reef Hotel Casino","Cairns","Queensland, Australia",-16.923837,145.7796679,"35-41 Wharf St, Cairns City QLD 4870, Australia",OK
"The Ville Resort-Casino","Townsville","Queensland, Australia",-19.2514004,146.8264475,"Sir Leslie Thiess Dr, Townsville City QLD 4810, Australia",OK
"SkyCity Adelaide","Adelaide","South Australia, Australia",-34.9198664,138.5986428,"North Terrace, Adelaide SA 5001, Australia",OK
"Casino Canberra","Canberra","ACT, Australia",-35.2831005,149.1342523,"21 Binara St, Canberra ACT 2601, Australia",OK
"Mindil Beach Casino Resort","Darwin","Northern Territory, Australia",-12.448142,130.8302871,"Mindil Beach, Gilruth Ave, Darwin City NT 0820, Australia",OK
"Lasseters Hotel Casino","Alice Springs","Northern Territory, Australia",-23.7183008,133.8786317,"93 Barrett Dr, Alice Springs NT 0870, Australia",OK
"Crown Towers Melbourne","Southbank","Victoria, Australia",-37.8223655,144.9600278,"8 Whiteman St, Southbank VIC 3006, Australia",OK
"The Venetian Macao","Macau","Macau",22.1470331,113.559839,"s/n Estrada da Baia de Nossa Senhora da Esperanca, Macao",OK
"Wynn Palace","Macau","Macau",22.1882774,113.5460702,"R. Cidade de Sintra, Macao",OK
"MGM Cotai","Macau","Macau",22.1457488,113.568286,"4HW9+78V, Av. da Nave Desportiva, Macao",OK
"City of Dreams","Macau","Macau",22.1492274,113.5666788,"Estr. do Istmo, Macao",OK
"Galaxy Macau","Macau","Macau",22.1492204,113.5537116,"「澳門銀河™」綜合度假城, Estrada da Baia de Nossa Senhora da Esperanca, Macao",OK
"Sands Cotai Central","Macau","Macau",22.1458478,113.5653752,"Estrada da Baia de Nossa Senhora da Esperanca, Macao",OK
"Wynn Macau","Macau","Macau",22.1882774,113.5460702,"R. Cidade de Sintra, Macao",OK
"Sands Macao","Macau","Macau",22.1916311,113.5548706,"203 Largo de Monte Carlo, Macao",OK
"MGM Macau","Macau","Macau",22.185475,113.547884,"Macao, 澳門美高梅澳門外港新填海區孫逸仙大馬路",OK
"Grand Lisboa","Macau","Macau",22.1900469,113.5448502,"Av. de Lisboa, Macao",OK
"Marina Bay Sands","Singapore","Singapore",1.2837575,103.8591065,"10 Bayfront Ave, Singapore 018956",OK
"Resorts World Sentosa","Singapore","Singapore",1.255179,103.8218107,"8 Sentosa Gateway, Singapore 098269",OK
"Solaire Resort & Casino","Manila","Philippines",14.5228793,120.9806383,"Entertainment City, 1 Asean Ave, Tambo, Parañaque, 1701 Metro Manila, Philippines",OK
"City of Dreams Manila","Manila","Philippines",14.5241347,120.9915522,"Asean Avenue, corner Roxas Blvd, Entertainment, Parañaque, 1701 Metro Manila, Philippines",OK
"Okada Manila","Manila","Philippines",14.5151576,120.9814988,"Entertainment City, New Seaside Dr, Parañaque, 1701 Kalakhang Maynila, Philippines",OK
"Resorts World Manila","Manila","Philippines",14.5190748,121.019358,"G299+GW5, Newport Blvd, Pasay City, 1309 Metro Manila, Philippines",OK
"Hard Rock Hotel Casino Manila","Manila","Philippines",14.5995133,120.984234,"Manila, Metro Manila, Philippines",OK
"Jeju Shinhwa World","Jeju","South Korea",33.3075638,126.3176387,"South Korea, Jeju-do, Seogwipo, 특별자치도, 38 Sinhwayeoksa-Ro 304beon-Gil Andeok-Myeon,Seogwipo-Si",OK
"Paradise City","Incheon","South Korea",37.4370548,126.4557987,"186 Yeongjonghaeannam-ro 321beon-gil, Jung-gu, Incheon, South Korea",OK
"Grand Walkerhill Casino","Seoul","South Korea",37.5552126,127.1108905,"177 Walkerhill-ro, Gwangjin District, Seoul, South Korea",OK
"NagaWorld","Phnom Penh","Cambodia",11.5563738,104.9282099,"Phnom Penh, Cambodia",OK
"Naga2","Phnom Penh","Cambodia",11.5559147,104.9349038,"Park, 120101, Samdech Hun Sen St, Phnom Penh, Cambodia",OK
"Star Vegas","Poipet","Cambodia",13.6654419,102.5538828,"MH83+5HC, Suwannason Rd, Aranyaprathet, Cambodia",OK
